ID,CUSTOMER_ID,ORDER_DATE,SHIP_DATE,SHIP_MODE
1,3799,2020-01-06,2020-01-10,Free Shipping
2,3319,2020-01-11,2020-01-16,Free Shipping
3,2314,2020-01-16,2020-01-17,Standard Shipping
4,537,2020-01-20,2020-01-20,Express Shipping
5,3002,2020-01-21,2020-01-24,Free Shipping
6,4063,2020-01-22,2020-01-24,Standard Shipping
7,2280,2020-01-23,2020-01-24,Standard Shipping
8,2417,2020-01-24,2020-01-27,Free Shipping
9,1034,2020-01-24,2020-01-25,Standard Shipping
10,716,2020-01-25,2020-01-26,Standard Shipping
11,2747,2020-01-29,2020-01-30,Standard Shipping
12,4761,2020-01-31,2020-02-04,Free Shipping
13,4063,2020-02-02,2020-02-07,Free Shipping
14,5281,2020-02-02,2020-02-04,Standard Shipping
15,2404,2020-02-06,2020-02-11,Free Shipping
16,4798,2020-02-08,2020-02-10,Standard Shipping
17,4761,2020-02-08,2020-02-11,Free Shipping
18,907,2020-02-08,2020-02-10,Standard Shipping
19,2593,2020-02-09,2020-02-09,Express Shipping
20,4329,2020-02-11,2020-02-12,Standard Shipping
21,586,2020-02-11,2020-02-14,Free Shipping
22,1721,2020-02-12,2020-02-12,Express Shipping
23,4101,2020-02-13,2020-02-13,Express Shipping
24,56,2020-02-17,2020-02-19,Standard Shipping
25,4329,2020-02-20,2020-02-20,Express Shipping
26,3066,2020-02-20,2020-02-24,Free Shipping
27,2593,2020-02-29,2020-02-29,Express Shipping
28,2171,2020-03-02,2020-03-02,Express Shipping
29,3390,2020-03-05,2020-03-06,Standard Shipping
30,4761,2020-03-08,2020-03-08,Express Shipping
31,3393,2020-03-09,2020-03-14,Free Shipping
32,2384,2020-03-10,2020-03-13,Free Shipping
33,802,2020-03-11,2020-03-15,Free Shipping
34,4487,2020-03-15,2020-03-18,Free Shipping
35,1001,2020-03-16,2020-03-16,Express Shipping
36,802,2020-03-17,2020-03-17,Express Shipping
37,4855,2020-03-18,2020-03-19,Standard Shipping
38,2991,2020-03-18,2020-03-23,Free Shipping
39,3799,2020-03-20,2020-03-24,Free Shipping
40,4149,2020-03-21,2020-03-23,Standard Shipping
41,2440,2020-03-23,2020-03-27,Free Shipping
42,1591,2020-03-24,2020-03-27,Free Shipping
43,1636,2020-03-25,2020-03-30,Free Shipping
44,866,2020-03-26,2020-03-29,Free Shipping
45,2932,2020-03-27,2020-03-31,Free Shipping
46,2911,2020-03-28,2020-04-02,Free Shipping
47,2740,2020-03-28,2020-04-01,Free Shipping
48,907,2020-03-29,2020-04-03,Free Shipping
49,1853,2020-03-29,2020-04-01,Free Shipping
50,4597,2020-04-01,2020-04-05,Free Shipping
51,4769,2020-04-01,2020-04-01,Express Shipping
52,3393,2020-04-01,2020-04-06,Free Shipping
53,5630,2020-04-03,2020-04-06,Free Shipping
54,2761,2020-04-05,2020-04-06,Standard Shipping
55,568,2020-04-06,2020-04-11,Free Shipping
56,5466,2020-04-08,2020-04-08,Express Shipping
57,1937,2020-04-09,2020-04-09,Express Shipping
58,1673,2020-04-11,2020-04-15,Free Shipping
59,169,2020-04-12,2020-04-17,Free Shipping
60,4487,2020-04-12,2020-04-17,Free Shipping
61,3462,2020-04-14,2020-04-19,Free Shipping
62,3415,2020-04-16,2020-04-19,Free Shipping
63,3319,2020-04-16,2020-04-19,Free Shipping
64,426,2020-04-16,2020-04-17,Standard Shipping
65,4422,2020-04-16,2020-04-19,Free Shipping
66,2417,2020-04-17,2020-04-17,Express Shipping
67,5369,2020-04-19,2020-04-22,Free Shipping
68,1978,2020-04-19,2020-04-23,Free Shipping
69,918,2020-04-21,2020-04-25,Free Shipping
70,5278,2020-04-21,2020-04-24,Free Shipping
71,2382,2020-04-22,2020-04-27,Free Shipping
72,2466,2020-04-23,2020-04-24,Standard Shipping
73,3062,2020-04-24,2020-04-27,Free Shipping
74,4262,2020-04-25,2020-04-28,Free Shipping
75,834,2020-04-25,2020-04-29,Free Shipping
76,3062,2020-04-26,2020-04-30,Free Shipping
77,4001,2020-04-26,2020-05-01,Free Shipping
78,1636,2020-04-26,2020-04-30,Free Shipping
79,4597,2020-04-27,2020-05-01,Free Shipping
80,2312,2020-04-27,2020-05-01,Free Shipping
81,2417,2020-04-28,2020-05-03,Free Shipping
82,5278,2020-04-28,2020-04-28,Express Shipping
83,2761,2020-04-29,2020-05-04,Free Shipping
